agent_name,total_utilization,map_utilizations,Split,Abyss,Pearl,Lotus,Bind,Haven,Fracture,Icebox,Ascent,Corrode,Sunset,tournament_name
Astra,7.0,"{'Lotus': 13.0, 'Ascent': 0.0, 'Sunset': 0.0, 'Bind': 0.0, 'Icebox': 0.0, 'Split': 20.0, 'Breeze': 25.0}",,,,,,,,,,,,Champions Tour 2024 China Kickoff_csvs
Gekko,7.0,"{'Lotus': 13.0, 'Ascent': 0.0, 'Sunset': 6.0, 'Bind': 7.0, 'Icebox': 17.0, 'Split': 0.0, 'Breeze': 0.0}",,,,,,,,,,,,Champions Tour 2024 China Kickoff_csvs
Phoenix,5.0,"{'Lotus': 0.0, 'Ascent': 13.0, 'Sunset': 19.0, 'Bind': 0.0, 'Icebox': 0.0, 'Split': 0.0, 'Breeze': 0.0}",,,,,,,,,,,,Champions Tour 2024 China Kickoff_csvs
Chamber,4.0,"{'Lotus': 13.0, 'Ascent': 0.0, 'Sunset': 13.0, 'Bind': 0.0, 'Icebox': 0.0, 'Split': 0.0, 'Breeze': 0.0}",,,,,,,,,,,,Champions Tour 2024 China Kickoff_csvs
Neon,3.0,"{'Lotus': 6.0, 'Ascent': 0.0, 'Sunset': 13.0, 'Bind': 0.0, 'Icebox': 0.0, 'Split': 0.0, 'Breeze': 0.0}",,,,,,,,,,,,Champions Tour 2024 China Kickoff_csvs
Reyna,2.0,"{'Lotus': 0.0, 'Ascent': 6.0, 'Sunset': 0.0, 'Bind': 0.0, 'Icebox': 8.0, 'Split': 0.0, 'Breeze': 0.0}",,,,,,,,,,,,Champions Tour 2024 China Kickoff_csvs
Iso,0.0,"{'Lotus': 0.0, 'Ascent': 0.0, 'Sunset': 0.0, 'Bind': 0.0, 'Icebox': 0.0, 'Split': 0.0, 'Breeze': 0.0}",,,,,,,,,,,,Champions Tour 2024 China Kickoff_csvs
Sage,0.0,"{'Lotus': 0.0, 'Ascent': 0.0, 'Sunset': 0.0, 'Bind': 0.0, 'Icebox': 0.0, 'Split': 0.0, 'Breeze': 0.0}",,,,,,,,,,,,Champions Tour 2024 China Kickoff_csvs
Deadlock,0.0,"{'Lotus': 0.0, 'Ascent': 0.0, 'Sunset': 0.0, 'Bind': 0.0, 'Icebox': 0.0, 'Split': 0.0, 'Breeze': 0.0}",,,,,,,,,,,,Champions Tour 2024 China Kickoff_csvs
Clove,0.0,"{'Lotus': 0.0, 'Ascent': 0.0, 'Sunset': 0.0, 'Bind': 0.0, 'Icebox': 0.0, 'Split': 0.0, 'Breeze': 0.0}",,,,,,,,,,,,Champions Tour 2024 China Kickoff_csvs
